code_n, n_tries,          qber,        f_mean,  c_iters_mean,  n_iters_mean,             R,       s_n,       p_n,   p_n_max,           k_n,   discl_n,           FER 
1944,        20,        0.1000,    0.88145329,    0.00000000,    0.00000000,    0.50000000,         0,       287,       439,          1657,        35,    1.00000000
1944,        20,        0.0200,    0.81986523,    0.00000000,    0.00000000,    0.83330000,        49,       118,       152,          1777,        22,    1.00000000
4000,        20,        0.1000,    1.03341888,    0.00000000,    0.00000000,    0.50000000,         0,       119,       864,          3881,        72,    0.95000000
1944,        20,        0.1000,    0.87002731,    0.00000000,    0.00000000,    0.50000000,         0,       302,       439,          1642,        35,    1.00000000
1944,        20,        0.0200,    0.75949356,    0.00000000,    0.00000000,    0.83330000,        49,       135,       152,          1760,        22,    1.00000000
1944,        20,        0.0200,    0.69794425,    0.00000000,    0.00000000,    0.83330000,        49,       152,       152,          1743,        22,    1.00000000
1944,        20,        0.1000,    0.85839066,    0.00000000,    0.00000000,    0.50000000,         0,       317,       439,          1627,        35,    1.00000000
4000,        20,        0.0200,    1.02281024,    0.00000000,    0.00000000,    0.85000000,        24,        29,       266,          3947,        44,    0.80000000
4000,        20,        0.1000,    1.19456615,    0.00000000,    0.00000000,    0.50000000,       500,        89,       864,          3411,        72,    0.15000000
1944,        20,        0.0200,    1.22000710,    0.00000000,    0.00000000,    0.83330000,        66,         0,       152,          1878,        22,    0.85000000
1944,        20,        0.1000,    0.84573938,    0.00000000,    0.00000000,    0.50000000,         0,       333,       439,          1611,        35,    1.00000000
1944,        20,        0.0200,    1.16973770,    0.00000000,    0.00000000,    0.83330000,        66,        16,       152,          1862,        22,    1.00000000
1944,        20,        0.1000,    0.83364844,    0.00000000,    0.00000000,    0.50000000,         0,       348,       439,          1596,        35,    1.00000000
1944,        20,        0.0200,    1.11537114,    0.00000000,    0.00000000,    0.83330000,        66,        33,       152,          1845,        22,    1.00000000
1944,        20,        0.1000,    0.82132806,    0.00000000,    0.00000000,    0.50000000,         0,       363,       439,          1581,        35,    1.00000000
4000,        20,        0.0200,    0.97649445,    0.00000000,    0.00000000,    0.85000000,        24,        59,       266,          3917,        44,    1.00000000
1944,        20,        0.1000,    0.80877166,    0.00000000,    0.00000000,    0.50000000,         0,       378,       439,          1566,        35,    1.00000000
1944,        20,        0.0200,    1.05999338,    0.00000000,    0.00000000,    0.83330000,        66,        50,       152,          1828,        22,    1.00000000
4000,        20,        0.1000,    1.02514652,    0.00000000,    0.00000000,    0.50000000,         0,       148,       864,          3852,        72,    0.95000000
